523,273.106ms,43.2737ms
523,271.235ms,46.3615ms
523,275.138ms,42.9947ms
523,276.155ms,42.8445ms
523,274.922ms,48.1025ms
523,275.768ms,45.923ms
524,272.91ms,58.7615ms
524,277.334ms,43.3371ms
524,277.023ms,44.8104ms
524,275.906ms,49.3013ms
524,276.412ms,43.2757ms
61,0.5286ms,1.6173ms
61,0.751ms,0.4392ms
61,0.7563ms,0.4626ms
61,0.761ms,0.4181ms
61,0.7624ms,0.429ms
524,271.071ms,42.8001ms
524,275.574ms,43.0356ms
524,273.462ms,42.7634ms
524,274.793ms,41.1801ms
524,274.16ms,43.5307ms
525,274.384ms,43.6593ms
525,278.421ms,42.015ms
525,284.881ms,44.99ms
525,278.232ms,43.8401ms
525,280.51ms,42.0318ms
525,276.881ms,44.0509ms
525,276.599ms,41.2538ms
525,277.293ms,43.0539ms
525,275.604ms,43.2425ms
525,275.081ms,47.9888ms
526,282.238ms,48.9056ms
526,278.482ms,42.3639ms
526,277.986ms,50.0186ms
526,278.641ms,46.9762ms
526,278.591ms,41.5963ms
526,274.998ms,42.529ms
526,280.192ms,44.4309ms
526,279.128ms,44.664ms
526,278.367ms,43.0447ms
526,278.421ms,69.5427ms
527,275.633ms,43.4064ms
527,278.513ms,42.9636ms
527,278.799ms,62.6747ms
527,279.718ms,43.3622ms
527,279.382ms,52.5484ms
527,277.907ms,52.5142ms
527,279.81ms,42.679ms
527,280.031ms,43.0189ms
527,280.149ms,66.4519ms
527,280.766ms,43.1618ms
528,282.922ms,44.4621ms
528,281.339ms,50.0037ms
528,280.968ms,44.6066ms
528,282.362ms,46.7216ms
528,281.599ms,61.8544ms
528,276.567ms,43.987ms
528,280.548ms,44.4554ms
528,279.718ms,56.7428ms
528,280.691ms,43.7325ms
528,280.175ms,44.2458ms
529,277.884ms,64.6674ms
529,282.084ms,89.4032ms
529,287.009ms,48.1226ms
529,281.88ms,44.7239ms
529,281.925ms,42.6302ms
61,0.5263ms,1.5334ms
61,0.7611ms,0.4643ms
61,0.7465ms,0.4616ms
61,0.7584ms,0.3854ms
61,0.7936ms,0.4792ms
529,282.661ms,44.2772ms
529,283.888ms,43.9886ms
529,286.007ms,44.9813ms
